id,rate
13005,41.7397
13007,0.0
13009,50.4999
13011,51.226
13013,146.48
13015,152.604
13017,26.196
13019,31.79
13021,261.6385
13023,29.4285
13025,68.1429
13027,26.2106
13029,67.812
13031,122.5479
13033,68.127
13035,44.3992
13037,0.0
13039,88.4459
13043,23.9536
13045,239.5953
13047,65.621
13049,29.6631
13051,368.3927
13053,15.3881
13055,72.3231
13057,207.8865
13059,108.8442
13061,0.0
13063,267.542
13065,19.8099
13067,657.8829
13069,85.622
13071,101.4244
13073,153.1827
13075,29.2638
13077,122.0139
13079,22.2966
13081,29.8142
13083,26.2224
13085,43.6183
13087,78.938
13089,722.161
13091,35.6592
13093,31.2136
13095,101.6477
13097,208.164
13099,36.7185
13101,0.0
13103,110.846
13105,52.4826
13107,56.8875
13109,28.3348
13111,52.2566
13113,98.6976
13115,153.7008
13117,204.302
13119,60.1128
13121,896.6871
13123,60.5409
13125,0.0
13127,123.2625
13129,100.8846
13131,48.1821
13133,41.225
13135,790.1298
13137,78.7536
13139,247.9893
13141,15.3162
13143,83.0589
13145,62.4644
13147,50.754
13149,30.1678
13151,320.8035
13153,178.9332
13155,14.5664
13157,111.366
13159,30.8936
13161,41.6052
13163,40.68
13165,22.8125
13167,18.4319
13169,57.574
13171,23.6691
13173,0.0
13175,90.9169
13177,49.6247
13179,97.797
13181,20.5794
13183,25.6695
13185,124.8753
13187,71.7048
13189,49.151
13191,28.428
13193,26.2048
13195,84.936
13197,23.7519
13199,52.995
13201,20.853
13205,50.0962
13207,59.5122
13209,19.7802
13211,35.912
13213,82.761
13215,241.0644
13217,196.9825
13219,31.5837
13221,30.8133
13223,178.7844
13225,53.844
13227,59.994
13229,53.1748
13231,46.2384
13233,74.0394
13235,20.6694
13237,44.5032
13239,0.0
13241,32.486
13243,0.0
13245,322.1888
13247,114.0802
13249,19.6194
13251,35.2125
13253,29.5324
13255,108.7796
13257,63.7
13259,0.0
13261,37.4784
13263,25.56
13265,0.0
13267,65.5824
13269,16.884
13271,28.0806
13273,13.698
13275,67.4385
13277,93.6192
13279,76.3896
13281,0.0
13283,21.0118
13285,138.938
13287,19.5672
13289,24.96
13291,48.3648
13293,52.512
13295,109.1488
13297,122.661
13299,71.03
13301,0.0
13303,39.2065
13305,74.8725
13307,0.0
13309,16.7895
13311,44.752
13313,155.313
13315,34.5033
13317,16.898
13319,23.315
13321,29.316
15001,310.704
15003,595.0728
15005,0.0
15007,84.57
